index,instructor
352,Stacy McGaugh
353,Stacy McGaugh
354,Stacy McGaugh
355,Gregory Harmon
356,Li Wang
357,Li Wang
358,Gregory Harmon
359,Lakshmi Balasubramanyan
360,Jose Olavarria Baeza
361,Scott Fine
362,Leonardo Madureira
363,"Marybeth Keeler,Ralitsa Petkova"
364,"Marybeth Keeler,Ralitsa Petkova"
365,"Marybeth Keeler,Ralitsa Petkova"
366,Peter Ritchken
367,"Marybeth Keeler,Peter Ritchken"
368,"Marybeth Keeler,Peter Ritchken"
369,"Lakshmi Balasubramanyan,Marybeth Keeler"
370,Lakshmi Balasubramanyan
371,"Leonardo Madureira,Marybeth Keeler"
372,"Leonardo Madureira,Marybeth Keeler"
373,"Leonardo Madureira,Marybeth Keeler"
374,Scott Fine
375,"Marybeth Keeler,Ralitsa Petkova"
376,Peter Ritchken
377,Julia Knopes
378,Monica Gerrek
379,Jason Gatliff
380,Monica Gerrek
381,Eileen Anderson-Fye
382,Mark Aulisio
383,Aaron Goldenberg
384,Staff
385,Patricia Marshall
386,Staff
387,Susan Stagno
388,Stuart Youngner
389,Marsha Michie
390,Jonathan Sadowsky
391,Jason Gatliff
392,Insoo Hyun
393,"Michael Householder,Suzanne Rivera"
394,"Michael Householder,Suzanne Rivera"
395,"Michael Householder,Suzanne Rivera"
396,"Michael Householder,Suzanne Rivera"
397,Leah Jeunnette
398,Jason Gatliff
399,Jason Gatliff
400,Mark Aulisio
401,Sana Loue
402,Sana Loue
403,Sana Loue
404,Sana Loue
405,Sana Loue
406,Sana Loue
407,Leah Jeunnette
408,Sana Loue
409,"Eileen Anderson-Fye,Jonathan Sadowsky"
410,Susan Stagno
411,"Michael Householder,Suzanne Rivera"
412,"Michael Householder,Suzanne Rivera"
413,"Michael Householder,Suzanne Rivera"
414,"Michael Householder,Suzanne Rivera"
415,Lauren Sankary
416,Patricia Marshall
417,Mark Aulisio
418,Stuart Youngner
419,Insoo Hyun
420,Sana Loue
421,Aaron Goldenberg
422,Jessica Berg
423,Eileen Anderson-Fye
424,Patricia Marshall
425,Monica Gerrek
426,Susan Stagno
427,Marsha Michie
428,Nicole Deming
429,Robert Guerin
430,Oliver Schirokauer
431,Jason Gatliff
432,Kavita Arora
433,Lauren Sankary
434,Martin Snider
435,Susan Wang
436,Susan Wang
437,Susan Wang
438,Susan Wang
439,Susan Wang
440,Hung-Ying Kao
441,Paul Carey
442,Focco Van den Akker
443,Vivien Yee
444,Nelson Phillips
445,Marianne Pusztai-Carey
446,Martin Snider
447,William Merrick
448,David Samols
449,Susan Wang
450,David Samols
451,Martin Snider
452,Susan Wang
453,"Stanley Adoro,Stephen Fink"
454,Colleen Croniger
455,Susan Wang
456,"Focco Van den Akker,Hung-Ying Kao"
457,Vivien Yee
458,"Chris Dealwis,Sichun Yang,Yoshikazu Imanishi"
459,David Buchner
460,Menachem Shoham
461,Eckhard Jankowsky
462,William Merrick
463,Paul Carey
464,David Danielpour
465,Jeffery Coller
466,Pamela Davis
467,Hung-Ying Kao
468,Focco Van den Akker
469,Paul Fox
470,Vivien Yee
471,Saba Valadkhan
472,Martin Snider
473,Kristian Baker
474,Jonatha Gott
475,Timothy Nilsen
476,Marion Skalweit
477,Ahmad Khalil
478,Donny Licatalosi
479,Jonathan Stamler
480,Scott Welford
481,Robert Bonomo
482,Johannes Von Lintig
483,Jun Qin
484,Maria Hatzoglou
485,Vivien Yee
486,Martin Snider
487,William Merrick
488,David Buchner
489,Paul Carey
490,Jeffery Coller
491,David Danielpour
492,Paul Fox
493,Menachem Shoham
494,Vivien Yee
495,Kristian Baker
496,Timothy Nilsen
497,Saba Valadkhan
498,Jonathan Stamler
499,Martin Snider
500,Robert Bonomo
501,Johannes Von Lintig
502,Jun Qin
503,Maria Hatzoglou
504,Hung-Ying Kao
505,Paul Carey
506,William Merrick
507,Paul Fox
508,Eckhard Jankowsky
509,Stanton Gerson
510,David Buchner
511,Jeffery Coller
512,Vivien Yee
513,David Danielpour
514,Focco Van den Akker
515,Saba Valadkhan
516,Clifford Harding
517,Kristian Baker
518,Timothy Nilsen
519,Martin Snider
520,Marion Skalweit
521,Kurt Runge
522,Martin Snider
523,Johannes Von Lintig
524,John Letterio
525,Afshin Dowlati
526,Jonathan Stamler
527,Jonatha Gott
528,Ahmad Khalil
529,Donny Licatalosi
530,Scott Welford
531,Robert Bonomo
532,Johannes Von Lintig
533,Jun Qin
534,Maria Hatzoglou
535,Thomas Gerken
536,Dianne Kube
537,Rebecca Benard
538,Michael Benard
539,Leena Chakravarty
540,Leena Chakravarty
541,Leena Chakravarty
542,Leena Chakravarty
543,Leena Chakravarty
544,Leena Chakravarty
545,Leena Chakravarty
546,Leena Chakravarty
547,Leena Chakravarty
548,Leena Chakravarty
549,Leena Chakravarty
550,Leena Chakravarty
551,Leena Chakravarty
552,Leena Chakravarty
553,Leena Chakravarty
554,Leena Chakravarty
555,Leena Chakravarty
556,Leena Chakravarty
557,Leena Chakravarty
558,Leena Chakravarty
559,Valerie Haywood
560,Valerie Haywood
561,Valerie Haywood
562,Valerie Haywood
563,Valerie Haywood
564,Barbara Kuemerle
565,Susan Burden-Gulley
566,Susan Burden-Gulley
567,Susan Burden-Gulley
568,Susan Burden-Gulley
569,Susan Burden-Gulley
570,Susan Burden-Gulley
571,Susan Burden-Gulley
572,Susan Burden-Gulley
573,Susan Burden-Gulley
574,Christopher Cullis
575,Christopher Cullis
576,Barbara Kuemerle
577,Michael Benard
578,Michael Benard
579,Peter Thomas
580,Ronald Oldfield
581,Ronald Oldfield
582,Gurkan Bebek
583,Gurkan Bebek
584,Gurkan Bebek
585,Gavin Svenson
586,Gavin Svenson
587,Jessica Fox
588,Nancy DiIulio
589,Kimberly Crown
590,Dianne Kube
591,Deborah Harris
592,Deborah Harris
593,Yolanda Fortenberry
594,Darin Croft
595,Darin Croft
596,Richard Drushel
597,Richard Drushel
598,Jean Moriuchi
599,Jean Moriuchi
600,Sarah Diamond
601,Sarah Diamond
602,Radhika Atit
603,Ryan Martin
604,Patricia Princehouse
605,Hillel Chiel
606,Roy Ritzmann
607,Brian McDermott
608,Radhika Atit
609,Michael Benard
610,Arnold Caplan
611,Hillel Chiel
612,Christopher Cullis
613,Stephen Haynesworth
614,Roy Ritzmann
615,Charles Rozek
616,Robin Snyder
617,Mark Willis
618,Yolanda Fortenberry
619,Emmitt Jolly
620,Claudia Mizutani
621,Jean Moriuchi
622,Karen Abbott
623,Jessica Fox
624,Sarah Diamond
625,Ryan Martin
626,Sarah Bagby
627,Kimberly Crown
628,David Burke
629,Darin Croft
630,Steven Emancipator
631,Kristen Lukas
632,Brian McDermott
633,John Nedrud
634,Helen Salz
635,Steven Sanders
636,Peter Thomas
637,Peter Zimmerman
638,Gavin Svenson
639,M E . Medof
640,Denise Su
641,Juliana Medeiros
642,Nicole Gunter
643,Yohannes Ambaye
644,Katherine Stuble
645,Diana Koester
646,Rebecca Benard
647,Richard Drushel
648,Valerie Haywood
649,Ana Locci
650,Barbara Kuemerle
651,Ronald Oldfield
652,Deborah Harris
653,Dianne Kube
654,Leena Chakravarty
655,Susan Burden-Gulley
656,Radhika Atit
657,Michael Benard
658,Arnold Caplan
659,Hillel Chiel
660,Christopher Cullis
661,Stephen Haynesworth
662,Roy Ritzmann
663,Charles Rozek
664,Robin Snyder
665,Mark Willis
666,Yolanda Fortenberry
667,Emmitt Jolly
668,Claudia Mizutani
669,Jean Moriuchi
670,Karen Abbott
671,Jessica Fox
672,Sarah Diamond
673,Ryan Martin
674,Sarah Bagby
675,Kimberly Crown
676,David Burke
677,Darin Croft
678,Steven Emancipator
679,Kristen Lukas
680,Brian McDermott
681,John Nedrud
682,Helen Salz
683,Steven Sanders
684,Peter Thomas
685,Peter Zimmerman
686,Patricia Dennis
687,Gavin Svenson
688,M E . Medof
689,Denise Su
690,Juliana Medeiros
691,Nicole Gunter
692,Yohannes Ambaye
693,Katherine Stuble
694,Diana Koester
695,Rebecca Benard
696,Richard Drushel
697,Valerie Haywood
698,Ana Locci
699,Barbara Kuemerle
700,Ronald Oldfield
701,Deborah Harris
702,Dianne Kube
703,Leena Chakravarty
704,Susan Burden-Gulley
705,Radhika Atit
706,Michael Benard
707,Arnold Caplan
708,Hillel Chiel
709,Christopher Cullis
710,Stephen Haynesworth
711,Roy Ritzmann
712,Charles Rozek
713,Robin Snyder
714,Mark Willis
715,Yolanda Fortenberry
716,Emmitt Jolly
717,Claudia Mizutani
718,Jean Moriuchi
719,Karen Abbott
720,Jessica Fox
721,Sarah Diamond
722,Ryan Martin
723,Sarah Bagby
724,Kimberly Crown
725,David Burke
726,Darin Croft
727,Steven Emancipator
728,Kristen Lukas
729,Brian McDermott
730,John Nedrud
731,Helen Salz
732,Steven Sanders
733,Peter Thomas
734,Peter Zimmerman
735,Gavin Svenson
736,M E . Medof
737,Denise Su
738,Juliana Medeiros
739,Nicole Gunter
740,Yohannes Ambaye
741,Katherine Stuble
742,Diana Koester
743,Rebecca Benard
744,Richard Drushel
745,Valerie Haywood
746,Ana Locci
747,Barbara Kuemerle
748,Ronald Oldfield
749,Deborah Harris
750,Dianne Kube
751,Leena Chakravarty
752,Susan Burden-Gulley
753,Radhika Atit
754,Michael Benard
755,Arnold Caplan
756,Hillel Chiel
757,Christopher Cullis
758,Stephen Haynesworth
759,Roy Ritzmann
760,Charles Rozek
761,Robin Snyder
762,Mark Willis
763,Yolanda Fortenberry
764,Emmitt Jolly
765,Claudia Mizutani
766,Jean Moriuchi
767,Karen Abbott
768,Jessica Fox
769,Sarah Diamond
770,Ryan Martin
771,Sarah Bagby
772,Kimberly Crown
773,David Burke
774,Darin Croft
775,Steven Emancipator
776,Kristen Lukas
777,Brian McDermott
778,John Nedrud
779,Helen Salz
780,Steven Sanders
781,Peter Thomas
782,Peter Zimmerman
783,Gavin Svenson
784,M E . Medof
785,Denise Su
786,Juliana Medeiros
787,Nicole Gunter
788,Yohannes Ambaye
789,Katherine Stuble
790,Diana Koester
791,Rebecca Benard
792,Richard Drushel
793,Valerie Haywood
794,Ana Locci
795,Barbara Kuemerle
796,Ronald Oldfield
797,Deborah Harris
798,Dianne Kube
799,Leena Chakravarty
800,Susan Burden-Gulley
801,Radhika Atit
802,Michael Benard
803,Arnold Caplan
804,Hillel Chiel
805,Christopher Cullis
806,Stephen Haynesworth
807,Roy Ritzmann
808,Charles Rozek
809,Robin Snyder
810,Mark Willis
811,Yolanda Fortenberry
812,Emmitt Jolly
813,Claudia Mizutani
814,Jean Moriuchi
815,Karen Abbott
816,Jessica Fox
817,Sarah Diamond
818,Ryan Martin
819,Sarah Bagby
820,Kimberly Crown
821,David Burke
822,Darin Croft
823,Steven Emancipator
824,Kristen Lukas
825,Brian McDermott
826,John Nedrud
827,Helen Salz
828,Steven Sanders
829,Peter Thomas
830,Peter Zimmerman
831,Gavin Svenson
832,M E . Medof
833,Denise Su
834,Juliana Medeiros
835,Nicole Gunter
836,Yohannes Ambaye
837,Katherine Stuble
838,Diana Koester
839,Rebecca Benard
840,Richard Drushel
841,Valerie Haywood
842,Ana Locci
843,Barbara Kuemerle
844,Ronald Oldfield
845,Deborah Harris
846,Dianne Kube
847,Leena Chakravarty
848,Susan Burden-Gulley
849,Cynthia Beall
850,Christopher Cullis
851,Christopher Cullis
852,Ronald Oldfield
853,Ronald Oldfield
854,Gavin Svenson
855,Gavin Svenson
856,Jessica Fox
857,Nancy DiIulio
858,Kimberly Crown
859,Deborah Harris
860,Jean Moriuchi
861,Jean Moriuchi
862,Sarah Diamond
863,Sarah Diamond
864,Matthias Buck
865,Radhika Atit
866,Ryan Martin
867,Patricia Princehouse
868,Hillel Chiel
869,Roy Ritzmann
870,Roy Ritzmann
871,Brian McDermott
872,Andrea Mario Pompeo Romani
873,Andrea Mario Pompeo Romani
874,Emmitt Jolly
875,Radhika Atit
876,Radhika Atit
877,Michael Benard
878,Arnold Caplan
879,Hillel Chiel
880,Christopher Cullis
881,Stephen Haynesworth
882,Roy Ritzmann
883,Robin Snyder
884,Mark Willis
885,Yolanda Fortenberry
886,Emmitt Jolly
887,Claudia Mizutani
888,Jean Moriuchi
889,Karen Abbott
890,Jessica Fox
891,Sarah Diamond
892,Ryan Martin
893,Sarah Bagby
894,Kimberly Crown
895,David Burke
896,Darin Croft
897,Steven Emancipator
898,Kristen Lukas
899,Brian McDermott
900,John Nedrud
901,Helen Salz
902,Steven Sanders
903,Peter Thomas
904,Peter Zimmerman
905,Scott Simpson
906,Patricia Dennis
907,Gavin Svenson
908,M E . Medof
909,Denise Su
910,Juliana Medeiros
911,Nicole Gunter
912,Yohannes Ambaye
913,Katherine Stuble
914,Diana Koester
915,Radhika Atit
916,Michael Benard
917,Arnold Caplan
918,Hillel Chiel
919,Christopher Cullis
920,Stephen Haynesworth
921,Roy Ritzmann
922,Robin Snyder
923,Mark Willis
924,Yolanda Fortenberry
925,Emmitt Jolly
926,Claudia Mizutani
927,Jean Moriuchi
928,Karen Abbott
929,Jessica Fox
930,Sarah Diamond
931,Ryan Martin
932,Sarah Bagby
933,Kimberly Crown
934,David Burke
935,Darin Croft
936,Steven Emancipator
937,Kristen Lukas
938,Brian McDermott
939,John Nedrud
940,Helen Salz
941,Steven Sanders
942,Peter Thomas
943,Peter Zimmerman
944,Scott Simpson
945,Patricia Dennis
946,Umut Gurkan
947,Gavin Svenson
948,M E . Medof
949,Denise Su
950,Juliana Medeiros
951,Nicole Gunter
952,Yohannes Ambaye
953,Katherine Stuble
954,Diana Koester
955,Ronald Oldfield
956,Radhika Atit
957,Michael Benard
958,Arnold Caplan
959,Hillel Chiel
960,Christopher Cullis
961,Stephen Haynesworth
962,Roy Ritzmann
963,Robin Snyder
964,Mark Willis
965,Yolanda Fortenberry
966,Emmitt Jolly
967,Claudia Mizutani
968,Jean Moriuchi
969,Karen Abbott
970,Jessica Fox
971,Sarah Diamond
972,Ryan Martin
973,Sarah Bagby
974,Kimberly Crown
975,David Burke
976,Darin Croft
977,Steven Emancipator
978,Kristen Lukas
979,Brian McDermott
980,John Nedrud
981,Helen Salz
982,Steven Sanders
983,Peter Thomas
984,Peter Zimmerman
985,Scott Simpson
986,Patricia Dennis
987,Gavin Svenson
988,M E . Medof
989,Denise Su
990,Juliana Medeiros
991,Nicole Gunter
992,Yohannes Ambaye
993,Katherine Stuble
994,Diana Koester
995,Radhika Atit
996,Michael Benard
997,Arnold Caplan
998,Hillel Chiel
999,Christopher Cullis
1000,Stephen Haynesworth
1001,Roy Ritzmann
1002,Robin Snyder
1003,Mark Willis
1004,Yolanda Fortenberry
1005,Emmitt Jolly
1006,Claudia Mizutani
1007,Jean Moriuchi
1008,Karen Abbott
1009,Jessica Fox
1010,Sarah Diamond
1011,Ryan Martin
1012,Sarah Bagby
1013,Kimberly Crown
1014,David Burke
1015,Darin Croft
1016,Steven Emancipator
1017,Kristen Lukas
1018,Brian McDermott
1019,John Nedrud
1020,Helen Salz
1021,Steven Sanders
1022,Peter Thomas
1023,Peter Zimmerman
1024,Scott Simpson
1025,Patricia Dennis
1026,Gavin Svenson
1027,M E . Medof
1028,Timothy Kern
1029,Denise Su
1030,Juliana Medeiros
1031,Nicole Gunter
1032,Yohannes Ambaye
1033,Katherine Stuble
1034,Diana Koester
1035,Timothy Fogarty
1036,George Dubyak
1037,David Stanek
1038,"Lakshmi Shankar Ramachandran,Marybeth Keeler"
1039,Drew Meyer
1040,Gaius Takor
1041,Drew Meyer
1042,Drew Meyer
1043,Drew Meyer
1044,Drew Meyer
1045,Drew Meyer
1046,Drew Meyer
1047,Drew Meyer
1048,Drew Meyer
1049,Drew Meyer
1050,Drew Meyer
1051,Drew Meyer
1052,Drew Meyer
1053,Drew Meyer
1054,Drew Meyer
1055,Drew Meyer
1056,Benjamin Sturtz
1057,Benjamin Sturtz
1058,Benjamin Sturtz
1059,Benjamin Sturtz
1060,Benjamin Sturtz
1061,Benjamin Sturtz
1062,Benjamin Sturtz
1063,Krista Cunningham
1064,Anthony Pearson
1065,Anthony Pearson
1066,Anthony Pearson
1067,Anthony Pearson
1068,Jeremy Hess
1069,Krista Cunningham
1070,Krista Cunningham
1071,Krista Cunningham
1072,Krista Cunningham
1073,Krista Cunningham
1074,Krista Cunningham
1075,Krista Cunningham
1076,Krista Cunningham
1077,Gregory Tochtrop
1078,Gregory Tochtrop
1079,Benjamin Sturtz
1080,Benjamin Sturtz
1081,Benjamin Sturtz
1082,Clemens Burda
1083,Staff
1084,Daniel Scherson
1085,Daniel Scherson
1086,Daniel Scherson
1087,Daniel Scherson
1088,Anna Cristina Samia
1089,Thomas Gray
1090,Fu-Sen Liang
1091,Michael Zagorski
1092,Blanton Tolbert
1093,Gregory Tochtrop
1094,Gregory Tochtrop
1095,Genevieve Sauve
1096,Carlos Crespo
1097,Robert Salomon
1098,Robert Salomon
1099,Alfred Anderson
1100,Clemens Burda
1101,Carlos Crespo
1102,Thomas Gray
1103,Raul Erick Juarez Hernandez
1104,Malcolm Kenney
1105,Irene Nga Wing Lee
1106,Drew Meyer
1107,Anthony Pearson
1108,John Protasiewicz
1109,Robert Salomon
1110,Anna Cristina Samia
1111,Genevieve Sauve
1112,Daniel Scherson
1113,Rekha Srinivasan
1114,Gregory Tochtrop
1115,Blanton Tolbert
1116,Staff
1117,Michael Zagorski
1118,Chris Dealwis
1119,Fu-Sen Liang
1120,Staff
1121,Staff
1122,Alfred Anderson
1123,Clemens Burda
1124,Carlos Crespo
1125,Thomas Gray
1126,Raul Erick Juarez Hernandez
1127,Malcolm Kenney
1128,Irene Nga Wing Lee
1129,Drew Meyer
1130,Anthony Pearson
1131,John Protasiewicz
1132,Robert Salomon
1133,Anna Cristina Samia
1134,Genevieve Sauve
1135,Daniel Scherson
1136,Rekha Srinivasan
1137,Gregory Tochtrop
1138,Blanton Tolbert
1139,Staff
1140,Michael Zagorski
1141,Michael Kenney
1142,Fu-Sen Liang
1143,Staff
1144,Staff
1145,Carlos Crespo
1146,Thomas Gray
1147,Irene Nga Wing Lee
1148,Michael Zagorski
1149,Blanton Tolbert
1150,Gregory Tochtrop
1151,Gregory Tochtrop
1152,Emily Pentzer
1153,Shane Parker
1154,"Anna Cristina Samia,Carlos Crespo,Clemens Burda,Daniel Scherson,Drew Meyer,Genevieve Sauve"
1155,Carlos Crespo
1156,Alfred Anderson
1157,Clemens Burda
1158,Carlos Crespo
1159,Thomas Gray
1160,Malcolm Kenney
1161,Irene Nga Wing Lee
1162,Anthony Pearson
1163,John Protasiewicz
1164,Robert Salomon
1165,Anna Cristina Samia
1166,Genevieve Sauve
1167,Daniel Scherson
1168,Blanton Tolbert
1169,Gregory Tochtrop
1170,Michael Zagorski
1171,Fu-Sen Liang
1172,Alfred Anderson
1173,Clemens Burda
1174,Carlos Crespo
1175,Thomas Gray
1176,Malcolm Kenney
1177,Irene Nga Wing Lee
1178,Anthony Pearson
1179,John Protasiewicz
1180,Robert Salomon
1181,Anna Cristina Samia
1182,Genevieve Sauve
1183,Daniel Scherson
1184,Blanton Tolbert
1185,Gregory Tochtrop
1186,Michael Zagorski
1187,Fu-Sen Liang
1188,Alfred Anderson
1189,Clemens Burda
1190,Carlos Crespo
1191,Thomas Gray
1192,Malcolm Kenney
1193,Irene Nga Wing Lee
1194,Anthony Pearson
1195,Emily Pentzer
1196,John Protasiewicz
1197,Robert Salomon
1198,Anna Cristina Samia
1199,Genevieve Sauve
1200,Daniel Scherson
1201,Gregory Tochtrop
1202,Blanton Tolbert
1203,Michael Zagorski
1204,Lei Zhu
1205,Fu-Sen Liang
1206,Staff
1207,Staff
1208,Staff
1209,Staff
1210,Robert Salomon
1211,Robert Salomon
1212,Alfred Anderson
1213,Clemens Burda
1214,Carlos Crespo
1215,Thomas Gray
1216,Malcolm Kenney
1217,Irene Nga Wing Lee
1218,Anthony Pearson
1219,John Protasiewicz
1220,Robert Salomon
1221,Anna Cristina Samia
1222,Genevieve Sauve
1223,Daniel Scherson
1224,Gregory Tochtrop
1225,Blanton Tolbert
1226,Michael Zagorski
1227,Staff
1228,Staff
1229,Staff
1230,Staff
